makespan: 62 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	2	9	7	16
1	10	3	22	5	27
1	10	4	27	8	35
1	3	2	36	9	45
1	2	3	45	7	52
1	2	4	52	10	62
2	5	1	0	12	12
2	9	1	12	7	19
2	3	1	19	17	36
2	9	3	36	9	45
2	9	4	45	15	60
3	8	1	0	9	9
3	8	2	9	19	28
3	5	3	28	14	42
3	6	1	42	13	55
4	1	1	0	9	9
4	4	2	9	19	28
4	8	3	28	15	43
4	3	3	45	5	50
4	8	4	50	6	56
4	7	2	56	5	61
5	10	1	0	12	12
5	5	2	12	9	21
5	2	1	21	10	31
5	2	2	31	11	42
5	4	3	42	12	54
5	6	2	57	5	62
6	4	1	0	7	7
6	7	1	7	6	13
6	10	2	13	9	22
6	9	2	22	7	29
6	1	3	29	13	42
6	5	4	42	20	62
