makespan: 64.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	0	11	11
1	2	1	11	14	25
1	9	3	26	13	39
1	1	3	39	7	46
1	10	4	46	18	64
2	6	1	0	12	12
2	4	1	12	5	17
2	1	1	17	13	30
2	7	3	30	7	37
2	2	3	37	7	44
2	3	2	49	7	56
2	6	5	56	6	62
3	9	1	0	19	19
3	6	3	19	12	31
3	2	2	31	6	37
3	3	1	37	12	49
3	4	2	49	15	64
4	8	1	0	10	10
4	6	2	12	5	17
4	8	2	17	15	32
4	6	4	32	17	49
4	2	4	49	14	63
5	10	2	5	20	25
5	10	3	25	20	45
5	5	2	47	11	58
5	3	3	58	6	64
6	10	1	0	5	5
6	7	2	11	9	20
6	9	2	20	6	26
6	1	2	30	7	37
6	5	1	37	10	47
6	1	4	47	13	60
