makespan: 67.0 (optimal)
Machine	Job	Operation	Start	Processing	End
1	7	2	8	15	23
1	6	4	24	10	34
1	8	2	35	14	49
1	7	4	49	13	62
2	2	1	0	6	6
2	4	1	6	14	20
2	5	1	20	13	33
2	7	3	33	9	42
2	9	2	42	9	51
2	8	3	51	11	62
2	3	5	62	5	67
3	6	1	0	6	6
3	1	1	6	12	18
3	6	3	18	6	24
3	4	3	26	16	42
3	5	3	42	20	62
4	10	1	0	17	17
4	3	3	17	11	28
4	10	2	28	5	33
4	5	2	33	7	40
4	10	3	40	7	47
4	1	2	47	20	67
5	3	1	0	7	7
5	6	2	7	11	18
5	4	2	20	6	26
5	8	1	26	9	35
5	2	2	35	7	42
5	2	3	42	11	53
5	10	4	53	13	66
6	7	1	0	7	7
6	3	2	7	5	12
6	9	1	12	15	27
6	3	4	28	15	43
6	6	5	43	10	53
6	4	4	53	7	60
6	2	4	60	7	67
