makespan: 62.0 (OPTIMAL)
Machine	Job	Operation	Start	Processing	End
1	8	1	0	10	10
1	1	2	10	7	17
1	8	2	17	15	32
1	10	3	32	5	37
1	10	4	37	8	45
1	2	3	45	7	52
1	2	4	52	10	62
2	9	1	0	7	7
2	5	2	8	16	24
2	9	3	24	9	33
2	3	2	33	12	45
2	9	4	45	15	60
3	3	1	0	20	20
3	5	3	24	14	38
3	6	1	38	13	51
4	1	1	0	9	9
4	4	2	9	19	28
4	7	2	28	5	33
4	8	3	33	15	48
4	8	4	48	6	54
4	3	3	54	5	59
5	5	1	0	8	8
5	10	1	8	12	20
5	2	1	20	10	30
5	2	2	30	11	41
5	4	3	41	12	53
5	6	2	53	5	58
6	4	1	0	7	7
6	9	2	7	7	14
6	7	1	14	6	20
6	10	2	20	9	29
6	1	3	29	13	42
6	5	4	42	20	62
