makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	2	5	13	18
1	9	3	18	5	23
1	4	1	23	8	31
1	7	1	31	9	40
1	7	2	40	8	48
1	10	4	48	17	65
2	10	1	0	13	13
2	3	2	13	16	29
2	10	3	29	8	37
2	4	3	37	6	43
2	4	4	43	19	62
3	3	1	0	8	8
3	5	1	8	11	19
3	1	1	19	15	34
3	5	2	34	13	47
3	3	4	47	11	58
4	6	1	0	7	7
4	2	1	7	13	20
4	2	2	20	13	33
4	6	4	33	10	43
4	1	2	43	13	56
5	9	1	0	5	5
5	8	1	5	7	12
5	10	2	13	6	19
5	8	2	19	8	27
5	4	2	31	6	37
5	6	5	43	16	59
5	3	5	59	7	66
6	6	2	7	5	12
6	6	3	12	19	31
6	3	3	31	15	46
6	8	3	46	20	66
