makespan: 42
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	9	1	0	7	7
1	11	2	12	8	20
1	20	3	21	2	23
1	30	3	28	9	37
1	4	4	37	2	39
2	29	1	0	4	4
2	5	1	4	3	7
2	5	2	7	3	10
2	7	2	10	4	14
2	3	1	14	2	16
2	7	4	21	6	27
2	7	5	27	1	28
2	11	4	32	6	38
3	27	1	0	4	4
3	12	1	4	6	10
3	6	3	10	4	14
3	8	2	14	1	15
3	22	4	15	4	19
3	16	4	21	2	23
3	13	4	23	1	24
3	25	3	24	2	26
3	25	7	36	6	42
4	28	1	0	3	3
4	16	1	3	2	5
4	16	2	5	4	9
4	21	4	11	3	14
4	21	5	14	5	19
4	7	3	19	1	20
4	26	3	20	8	28
4	12	4	28	9	37
5	21	1	0	3	3
5	21	2	3	3	6
5	11	1	6	3	9
5	10	2	9	7	16
5	12	2	16	1	17
5	13	3	17	3	20
5	22	5	20	6	26
5	23	5	26	1	27
5	23	6	27	4	31
5	25	5	31	1	32
5	28	5	32	9	41
6	10	1	0	4	4
6	14	1	4	1	5
6	24	3	8	1	9
6	20	2	9	7	16
6	25	2	16	3	19
6	12	3	19	4	23
6	4	3	23	5	28
6	8	4	29	1	30
7	18	2	3	2	5
7	19	2	5	1	6
7	13	2	6	10	16
7	30	2	16	10	26
7	13	5	29	6	35
7	18	5	35	5	40
8	19	1	0	3	3
8	25	1	3	5	8
8	29	3	8	4	12
8	5	3	14	5	19
8	1	5	19	1	20
8	27	5	24	6	30
8	21	7	30	2	32
8	2	5	32	1	33
8	24	6	33	9	42
9	13	1	0	3	3
9	15	1	3	6	9
9	8	1	9	3	12
9	23	2	13	6	19
9	23	3	19	2	21
9	23	4	21	2	23
9	2	3	23	4	27
9	3	3	27	3	30
9	17	4	30	4	34
9	7	6	34	8	42
10	17	1	1	1	2
10	6	2	3	5	8
10	21	3	8	1	9
10	22	3	11	2	13
10	4	2	13	6	19
10	18	4	19	3	22
10	21	6	22	2	24
10	10	3	24	9	33
10	2	6	37	3	40
11	4	1	0	3	3
11	27	3	12	5	17
11	19	3	17	10	27
11	25	4	27	3	30
11	2	4	30	1	31
11	25	6	34	1	35
11	15	4	37	1	38
11	13	6	38	3	41
12	18	1	0	1	1
12	6	1	1	1	2
12	9	2	10	8	18
12	28	4	18	4	22
13	20	1	1	3	4
13	22	2	6	1	7
13	27	2	7	3	10
13	15	2	10	9	19
13	8	3	19	9	28
13	15	3	28	7	35
13	20	4	35	5	40
14	7	1	1	3	4
14	1	1	4	5	9
14	1	2	9	2	11
14	1	3	11	5	16
14	1	4	16	1	17
14	29	5	22	4	26
14	29	6	26	8	34
14	23	7	34	8	42
15	2	1	0	4	4
15	29	2	5	1	6
15	16	3	14	2	16
15	3	2	17	3	20
15	27	4	20	2	22
15	16	5	26	4	30
15	3	4	34	7	41
15	3	5	41	1	42
16	24	1	0	2	2
16	30	1	2	3	5
16	28	2	6	1	7
16	24	4	10	9	19
16	19	4	32	7	39
17	23	1	0	10	10
17	28	3	10	3	13
17	29	4	13	4	17
17	6	4	18	4	22
17	5	4	22	7	29
17	1	6	29	4	33
17	26	4	33	9	42
18	26	1	0	8	8
18	26	2	8	3	11
18	17	2	11	1	12
18	2	2	12	7	19
18	9	4	23	3	26
18	27	6	32	8	40
18	16	6	40	2	42
19	24	2	6	1	7
19	14	2	8	1	9
19	14	3	9	6	15
19	17	3	15	8	23
19	24	5	23	6	29
19	11	3	29	2	31
19	22	6	31	10	41
19	10	4	41	1	42
20	22	1	0	2	2
20	18	3	9	6	15
20	9	3	20	2	22
20	14	4	22	6	28
20	9	5	28	1	29
20	1	7	35	2	37
20	30	4	39	3	42
