makespan: 43
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	27	1	0	6	6
1	2	2	6	1	7
1	7	2	8	3	11
1	5	3	12	5	17
1	4	5	19	10	29
1	9	4	29	4	33
1	28	7	34	6	40
1	15	5	40	1	41
2	12	1	0	3	3
2	12	2	3	3	6
2	13	3	24	1	25
2	13	4	25	3	28
2	2	4	28	7	35
2	27	4	35	2	37
3	16	1	0	1	1
3	7	1	1	4	5
3	30	2	8	2	10
3	24	1	10	10	20
3	14	2	20	4	24
3	18	4	25	5	30
3	16	4	30	2	32
3	1	5	33	4	37
3	8	4	37	1	38
3	16	5	38	2	40
3	16	6	40	3	43
4	26	1	0	1	1
4	26	2	1	4	5
4	29	2	9	4	13
4	22	3	20	1	21
4	22	4	21	2	23
4	24	2	25	1	26
4	28	6	28	3	31
4	10	3	31	6	37
4	5	5	38	4	42
5	22	1	1	6	7
5	15	2	7	7	14
5	22	2	14	2	16
5	8	2	16	6	22
5	12	6	24	1	25
5	3	3	25	8	33
5	14	3	33	1	34
5	17	3	34	3	37
5	14	4	37	5	42
5	9	7	42	1	43
6	29	1	1	6	7
6	3	1	7	5	12
6	23	2	12	7	19
6	12	5	19	2	21
6	11	3	21	4	25
6	11	4	25	6	31
6	4	6	31	4	35
6	18	5	35	1	36
6	20	4	36	1	37
6	1	6	40	2	42
7	20	1	0	1	1
7	18	2	8	7	15
7	7	3	15	1	16
7	11	2	16	2	18
7	28	4	18	7	25
7	28	5	25	1	26
7	19	3	26	7	33
7	20	3	33	1	34
7	21	4	34	7	41
7	26	6	41	1	42
7	19	5	42	1	43
8	2	1	0	1	1
8	19	1	1	9	10
8	6	2	10	4	14
8	13	1	14	2	16
8	29	4	20	4	24
8	26	4	24	1	25
8	8	3	25	7	32
8	12	7	32	6	38
8	4	7	38	5	43
9	25	2	6	10	16
9	4	4	17	1	18
9	1	3	18	3	21
9	7	4	21	5	26
9	10	2	26	3	29
9	19	4	34	4	38
9	13	5	38	3	41
10	25	1	0	3	3
10	8	1	3	9	12
10	30	3	13	6	19
10	18	3	19	3	22
10	1	4	25	5	30
10	29	5	30	2	32
11	6	1	0	3	3
11	9	1	3	3	6
11	28	2	6	1	7
11	4	2	7	5	12
11	9	2	12	7	19
11	9	3	19	2	21
11	30	4	21	4	25
11	17	2	25	7	32
11	23	4	32	6	38
11	13	6	42	1	43
12	5	2	4	6	10
12	26	3	10	10	20
12	25	3	20	3	23
12	5	4	23	10	33
12	9	5	34	3	37
12	9	6	37	2	39
12	30	7	40	2	42
12	2	5	42	1	43
13	23	1	1	5	6
13	19	2	15	7	22
13	6	5	25	1	26
13	24	3	29	3	32
13	8	6	42	1	43
14	6	4	23	1	24
14	16	3	24	1	25
14	11	5	36	3	39
14	10	4	40	3	43
15	15	1	0	2	2
15	14	1	2	5	7
15	27	2	9	2	11
15	28	3	11	3	14
15	27	3	14	3	17
15	29	3	17	1	18
15	21	2	18	6	24
15	25	4	25	7	32
16	5	1	0	1	1
16	18	1	1	4	5
16	21	1	5	3	8
16	16	2	8	10	18
16	20	2	18	5	23
16	30	5	27	3	30
16	26	5	30	8	38
16	3	4	38	2	40
16	22	6	40	1	41
17	4	1	0	4	4
17	30	1	4	3	7
17	12	4	11	5	16
17	15	3	19	8	27
17	23	3	27	2	29
17	7	6	37	5	42
18	28	1	0	3	3
18	1	2	10	3	13
18	4	3	15	1	16
18	15	4	31	3	34
18	30	6	34	5	39
18	8	5	39	1	40
19	11	1	1	8	9
19	17	1	9	3	12
19	6	3	18	2	20
19	13	2	20	1	21
19	21	3	26	3	29
19	6	6	29	4	33
19	25	5	34	8	42
19	17	4	42	1	43
20	10	1	0	1	1
20	1	1	1	7	8
20	12	3	8	1	9
20	2	3	12	8	20
20	3	2	20	2	22
20	22	5	25	5	30
20	7	5	30	5	35
20	24	4	37	1	38
