makespan: 43
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	6	2	5	2	7
1	6	3	7	2	9
1	5	3	12	2	14
1	2	2	14	5	19
1	3	4	24	2	26
1	16	6	27	8	35
1	27	5	35	3	38
1	19	4	38	3	41
1	15	6	41	2	43
2	30	2	2	1	3
2	18	2	6	1	7
2	22	2	7	4	11
2	14	3	14	6	20
2	28	2	23	6	29
2	24	4	29	8	37
3	10	1	0	10	10
3	26	2	10	2	12
3	19	1	12	3	15
3	21	3	17	2	19
3	7	4	22	1	23
3	6	6	27	4	31
3	23	5	32	4	36
3	4	5	39	1	40
3	18	7	41	1	42
4	13	1	0	3	3
4	4	1	3	5	8
4	12	2	8	1	9
4	29	3	10	6	16
4	23	3	16	6	22
4	19	2	22	9	31
4	26	6	33	6	39
4	23	6	39	2	41
5	17	1	0	5	5
5	11	2	11	6	17
5	18	4	18	4	22
5	2	3	22	5	27
5	13	4	27	4	31
5	11	4	31	2	33
5	29	5	33	1	34
5	28	4	37	4	41
6	15	1	0	7	7
6	12	3	11	6	17
6	11	3	22	3	25
6	10	4	25	5	30
6	4	4	30	6	36
7	5	1	0	3	3
7	12	1	3	1	4
7	1	2	4	7	11
7	15	2	12	10	22
7	6	5	24	1	25
7	3	5	29	9	38
7	21	5	38	2	40
7	11	5	40	1	41
7	17	5	41	1	42
8	1	1	0	3	3
8	21	1	3	5	8
8	25	2	8	6	14
8	8	3	14	1	15
8	26	4	23	1	24
8	4	3	24	3	27
8	23	4	27	2	29
8	20	5	38	2	40
9	3	1	0	4	4
9	5	2	4	4	8
9	24	2	8	9	17
9	14	5	23	6	29
9	12	4	29	3	32
9	30	5	36	6	42
10	7	1	0	3	3
10	8	2	5	3	8
10	9	4	15	3	18
10	8	4	18	3	21
10	27	4	23	4	27
10	26	5	27	5	32
10	30	4	32	1	33
10	10	5	33	1	34
10	1	6	36	7	43
11	9	1	0	1	1
11	20	1	1	4	5
11	23	2	5	1	6
11	25	3	17	2	19
11	24	3	19	2	21
11	17	4	21	6	27
11	7	6	32	7	39
12	23	1	0	1	1
12	17	2	6	7	13
12	13	3	13	4	17
12	9	5	20	8	28
12	2	4	28	8	36
12	20	4	36	1	37
12	5	5	37	4	41
13	6	1	0	3	3
13	16	2	5	6	11
13	7	3	14	3	17
13	29	4	20	7	27
13	25	5	28	9	37
13	14	7	37	6	43
14	26	1	0	9	9
14	27	2	9	1	10
14	26	3	13	5	18
14	22	3	18	1	19
14	9	6	33	7	40
14	26	7	41	2	43
15	11	1	0	6	6
15	29	2	6	3	9
15	3	2	9	5	14
15	1	3	14	6	20
15	27	3	20	1	21
15	10	3	21	2	23
15	7	5	24	4	28
15	15	4	31	5	36
15	16	7	38	5	43
16	16	1	0	3	3
16	14	1	3	2	5
16	9	2	5	3	8
16	18	3	8	8	16
16	3	3	19	1	20
16	14	4	21	1	22
16	30	3	22	6	28
16	20	3	28	4	32
16	10	6	36	3	39
17	2	1	0	9	9
17	9	3	10	3	13
17	17	3	14	5	19
17	16	4	19	2	21
17	16	5	21	1	22
17	5	4	22	2	24
17	15	3	25	4	29
17	14	6	30	3	33
17	1	5	33	1	34
17	12	5	34	1	35
17	10	7	41	2	43
18	18	1	0	5	5
18	24	1	5	1	6
18	27	1	6	1	7
18	14	2	7	6	13
18	21	2	13	2	15
18	10	2	15	2	17
18	4	2	17	3	20
18	28	1	20	2	22
18	25	4	22	4	26
18	21	4	26	3	29
18	18	6	30	9	39
19	30	1	0	1	1
19	22	1	1	1	2
19	7	2	6	4	10
19	20	2	10	2	12
19	1	4	21	7	28
19	19	3	32	2	34
19	28	3	34	2	36
19	15	5	37	1	38
19	2	5	40	1	41
20	29	1	0	1	1
20	25	1	1	1	2
20	8	1	2	1	3
20	13	2	7	2	9
20	16	3	13	3	16
20	6	4	16	4	20
20	18	5	24	5	29
20	22	4	29	9	38
20	2	6	42	1	43
