makespan: 43
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	6	2	4	2	6
1	29	2	6	7	13
1	2	2	14	5	19
1	5	3	19	2	21
1	9	5	24	1	25
1	16	6	27	8	35
1	27	5	35	3	38
1	19	4	38	3	41
1	15	6	41	2	43
2	1	1	0	2	2
2	30	2	3	1	4
2	18	2	6	1	7
2	28	2	7	6	13
2	14	3	13	6	19
2	27	4	19	4	23
2	1	4	23	6	29
2	3	5	32	10	42
3	10	1	1	10	11
3	26	2	11	2	13
3	19	1	13	3	16
3	7	3	16	3	19
3	7	4	19	1	20
3	21	3	21	2	23
3	17	4	23	8	31
3	29	4	31	3	34
3	23	5	34	4	38
3	18	7	41	1	42
3	4	5	42	1	43
4	13	1	0	3	3
4	1	2	4	8	12
4	29	3	15	6	21
4	19	2	21	9	30
4	26	6	33	6	39
4	23	6	41	2	43
5	14	2	4	6	10
5	11	2	10	6	16
5	18	4	18	4	22
5	2	3	22	5	27
5	13	4	27	4	31
5	19	3	31	2	33
5	28	4	33	4	37
6	15	1	0	7	7
6	10	4	23	5	28
6	24	3	28	3	31
6	4	4	33	6	39
7	9	1	0	2	2
7	6	1	2	1	3
7	12	1	3	1	4
7	5	1	4	3	7
7	27	2	8	2	10
7	6	5	28	1	29
7	21	4	29	4	33
7	18	6	33	6	39
7	17	5	39	1	40
7	11	5	40	1	41
7	21	5	41	2	43
8	27	1	0	7	7
8	24	1	7	2	9
8	21	1	9	5	14
8	25	2	14	6	20
8	8	3	22	1	23
8	23	4	29	2	31
8	20	5	38	2	40
9	28	1	0	2	2
9	9	2	3	7	10
9	5	2	10	4	14
9	30	3	14	7	21
9	14	5	23	6	29
9	30	5	29	6	35
9	16	7	37	5	42
10	7	1	0	3	3
10	8	2	14	3	17
10	9	4	17	3	20
10	22	4	20	7	27
10	4	3	27	3	30
10	10	5	30	1	31
10	8	4	31	3	34
10	1	6	36	7	43
11	4	1	2	3	5
11	20	1	5	4	9
11	24	2	12	10	22
11	25	3	23	2	25
11	5	4	25	10	35
11	7	6	36	7	43
12	23	1	0	1	1
12	12	2	5	1	6
12	17	2	6	7	13
12	2	4	28	8	36
12	20	4	36	1	37
12	5	5	37	4	41
13	17	1	0	3	3
13	16	2	7	6	13
13	4	2	13	9	22
13	25	5	34	9	43
14	26	1	0	9	9
14	12	4	12	1	13
14	12	5	13	3	16
14	22	3	16	1	17
14	3	4	22	9	31
14	9	6	31	7	38
14	26	7	41	2	43
15	3	1	0	5	5
15	3	2	5	5	10
15	22	2	10	4	14
15	26	3	14	1	15
15	15	2	15	4	19
15	10	3	19	2	21
15	23	3	21	5	26
15	10	7	40	2	42
16	14	1	0	2	2
16	18	3	8	8	16
16	3	3	16	1	17
16	11	3	17	4	21
16	14	4	21	1	22
16	7	5	22	9	31
16	20	3	31	4	35
16	10	6	35	3	38
16	24	4	38	4	42
17	2	1	0	9	9
17	9	3	11	3	14
17	17	3	14	5	19
17	16	4	19	2	21
17	16	5	21	1	22
17	15	3	22	4	26
17	14	6	30	3	33
17	1	5	33	1	34
17	14	7	34	8	42
18	18	1	0	5	5
18	23	2	5	3	8
18	6	3	9	4	13
18	10	2	15	2	17
18	21	2	17	2	19
18	26	4	19	1	20
18	13	3	21	5	26
18	30	4	26	2	28
18	25	4	28	4	32
18	11	4	32	6	38
18	29	5	38	5	43
19	22	1	0	1	1
19	30	1	1	1	2
19	7	2	6	4	10
19	1	3	13	9	22
19	20	2	22	2	24
19	26	5	24	4	28
19	28	3	28	2	30
19	15	4	30	7	37
19	15	5	37	1	38
19	2	5	40	1	41
20	29	1	0	1	1
20	16	1	1	3	4
20	11	1	4	2	6
20	25	1	6	1	7
20	12	3	7	4	11
20	8	1	11	1	12
20	27	3	13	2	15
20	16	3	15	3	18
20	13	2	18	2	20
20	6	4	20	4	24
20	18	5	24	5	29
20	6	6	32	10	42
20	2	6	42	1	43
