Instance	Status	Time(sec)	Objective
employee_assignment_instance_001.json	Feasible	0.02	4738.00
employee_assignment_instance_002.json	Feasible	0.02	9833.00
employee_assignment_instance_003.json	Feasible	0.03	9135.00
employee_assignment_instance_004.json	Feasible	0.02	4336.00
employee_assignment_instance_005.json	Feasible	0.02	6925.00
employee_assignment_instance_006.json	Feasible	0.02	8028.00
employee_assignment_instance_007.json	Feasible	0.02	4944.00
employee_assignment_instance_008.json	Feasible	0.03	1248.00
employee_assignment_instance_009.json	Feasible	0.03	3841.00
employee_assignment_instance_010.json	Feasible	0.02	2343.00
employee_assignment_instance_011.json	Feasible	0.02	4538.00
employee_assignment_instance_012.json	Feasible	0.01	1148.00
employee_assignment_instance_013.json	Feasible	0.02	3631.00
employee_assignment_instance_014.json	Feasible	0.02	4846.00
employee_assignment_instance_015.json	Feasible	0.01	3131.00
employee_assignment_instance_016.json	Feasible	0.03	4243.00
employee_assignment_instance_017.json	Feasible	0.02	4653.00
employee_assignment_instance_018.json	Feasible	0.01	38.00
employee_assignment_instance_019.json	Feasible	0.01	639.00
employee_assignment_instance_020.json	Feasible	0.02	5946.00
employee_assignment_instance_021.json	Feasible	0.01	240.00
employee_assignment_instance_022.json	Feasible	0.02	259.00
employee_assignment_instance_023.json	Feasible	0.03	776.00
employee_assignment_instance_024.json	Feasible	0.03	2735.00
employee_assignment_instance_025.json	Feasible	0.01	737.00
employee_assignment_instance_026.json	Feasible	0.02	6035.00
employee_assignment_instance_027.json	Feasible	0.01	8923.00
employee_assignment_instance_028.json	Feasible	0.01	939.00
employee_assignment_instance_029.json	Feasible	0.02	3127.00
employee_assignment_instance_030.json	Feasible	0.02	2536.00
employee_assignment_instance_031.json	Feasible	0.03	1237.00
employee_assignment_instance_032.json	Feasible	0.01	1751.00
employee_assignment_instance_033.json	Feasible	0.03	8244.00
employee_assignment_instance_034.json	Feasible	0.03	8554.00
employee_assignment_instance_035.json	Feasible	0.02	1151.00
employee_assignment_instance_036.json	Feasible	0.02	5034.00
employee_assignment_instance_037.json	Feasible	0.01	2726.00
employee_assignment_instance_038.json	Feasible	0.01	1138.00
employee_assignment_instance_039.json	Feasible	0.03	3239.00
employee_assignment_instance_040.json	Feasible	0.04	1346.00
employee_assignment_instance_041.json	Feasible	0.03	3231.00
employee_assignment_instance_042.json	Feasible	0.02	5433.00
employee_assignment_instance_043.json	Feasible	0.02	2348.00
employee_assignment_instance_044.json	Feasible	0.02	2738.00
employee_assignment_instance_045.json	Feasible	0.04	5262.00
employee_assignment_instance_046.json	Feasible	0.02	3237.00
employee_assignment_instance_047.json	Feasible	0.02	2542.00
employee_assignment_instance_048.json	Feasible	0.02	1834.00
employee_assignment_instance_049.json	Feasible	0.02	4829.00
employee_assignment_instance_050.json	Feasible	0.02	8044.00
employee_assignment_instance_051.json	Feasible	0.02	252.00
employee_assignment_instance_052.json	Feasible	0.02	5937.00
employee_assignment_instance_053.json	Feasible	0.02	1746.00
employee_assignment_instance_054.json	Feasible	0.02	4145.00
employee_assignment_instance_055.json	Feasible	0.02	4143.00
employee_assignment_instance_056.json	Feasible	0.01	3627.00
employee_assignment_instance_057.json	Feasible	0.02	9534.00
employee_assignment_instance_058.json	Feasible	0.02	5230.00
employee_assignment_instance_059.json	Feasible	0.02	6453.00
employee_assignment_instance_060.json	Feasible	0.01	729.00
employee_assignment_instance_061.json	Feasible	0.01	2426.00
employee_assignment_instance_062.json	Feasible	0.01	4535.00
employee_assignment_instance_063.json	Feasible	0.04	9945.00
employee_assignment_instance_064.json	Feasible	0.02	1437.00
employee_assignment_instance_065.json	Feasible	0.03	7344.00
employee_assignment_instance_066.json	Feasible	0.02	2848.00
employee_assignment_instance_067.json	Feasible	0.01	5438.00
employee_assignment_instance_068.json	Feasible	0.02	2354.00
employee_assignment_instance_069.json	Feasible	0.02	4858.00
employee_assignment_instance_070.json	Feasible	0.02	5053.00
employee_assignment_instance_071.json	Feasible	0.01	2837.00
employee_assignment_instance_072.json	Feasible	0.03	1933.00
employee_assignment_instance_073.json	Feasible	0.01	1421.00
employee_assignment_instance_074.json	Feasible	0.01	46.00
employee_assignment_instance_075.json	Feasible	0.01	943.00
employee_assignment_instance_076.json	Feasible	0.01	1235.00
employee_assignment_instance_077.json	Feasible	0.01	1442.00
employee_assignment_instance_078.json	Feasible	0.02	6234.00
employee_assignment_instance_079.json	Feasible	0.03	7941.00
employee_assignment_instance_080.json	Feasible	0.02	4128.00
employee_assignment_instance_081.json	Feasible	0.02	2232.00
employee_assignment_instance_082.json	Feasible	0.01	1035.00
employee_assignment_instance_083.json	Feasible	0.02	1042.00
employee_assignment_instance_084.json	Feasible	0.01	49.00
employee_assignment_instance_085.json	Feasible	0.01	2243.00
employee_assignment_instance_086.json	Feasible	0.03	2760.00
employee_assignment_instance_087.json	Feasible	0.01	16.00
employee_assignment_instance_088.json	Feasible	0.03	3436.00
employee_assignment_instance_089.json	Feasible	0.02	5938.00
employee_assignment_instance_090.json	Feasible	0.02	2056.00
employee_assignment_instance_091.json	Feasible	0.03	4357.00
employee_assignment_instance_092.json	Feasible	0.02	3133.00
employee_assignment_instance_093.json	Feasible	0.02	6031.00
employee_assignment_instance_094.json	Feasible	0.03	4243.00
employee_assignment_instance_095.json	Feasible	0.02	6248.00
employee_assignment_instance_096.json	Feasible	0.01	1938.00
employee_assignment_instance_097.json	Feasible	0.02	4940.00
employee_assignment_instance_098.json	Feasible	0.02	2337.00
employee_assignment_instance_099.json	Feasible	0.02	5136.00
employee_assignment_instance_100.json	Feasible	0.01	2225.00
