optimal_value = 692
objective = 692
result = 692

--- 手术安排 ---
手术 0: 房间 5, 开始 514, 结束 627, 护士 [13]
手术 1: 房间 4, 开始 480, 结束 587, 护士 [12]
手术 2: 房间 8, 开始 480, 结束 525, 护士 [9]
手术 3: 房间 8, 开始 525, 结束 634, 护士 [11]
手术 4: 房间 7, 开始 480, 结束 551, 护士 [8]
手术 5: 房间 6, 开始 480, 结束 591, 护士 [10]
手术 6: 房间 0, 开始 575, 结束 692, 护士 [9]
手术 7: 房间 4, 开始 633, 结束 692, 护士 [0]
手术 8: 房间 5, 开始 480, 结束 514, 护士 [2]
手术 9: 房间 9, 开始 572, 结束 692, 护士 [8]
手术 10: 房间 2, 开始 504, 结束 594, 护士 [7]
手术 11: 房间 3, 开始 534, 结束 578, 护士 [5]
手术 12: 房间 7, 开始 551, 结束 655, 护士 [6]
手术 13: 房间 3, 开始 480, 结束 534, 护士 [1]
手术 14: 房间 6, 开始 594, 结束 692, 护士 [5]
手术 15: 房间 1, 开始 568, 结束 678, 护士 [4]
手术 16: 房间 0, 开始 480, 结束 564, 护士 [3]
手术 17: 房间 3, 开始 578, 结束 684, 护士 [2]
手术 18: 房间 2, 开始 594, 结束 636, 护士 [1]
手术 19: 房间 1, 开始 501, 结束 568, 护士 [0]
求解时间: 0.20 秒
