Instance	Status	Time(sec)	Makespan
data_001.json	Feasible	0.20	10.68
data_002.json	Feasible	0.18	11.70
data_003.json	Feasible	0.19	10.90
data_004.json	Feasible	0.15	11.05
data_005.json	Feasible	0.18	10.82
data_006.json	Feasible	0.18	11.07
data_007.json	Feasible	0.18	10.53
data_008.json	Feasible	0.17	10.80
data_009.json	Feasible	0.17	11.53
data_010.json	Feasible	0.18	11.47
data_011.json	Feasible	0.18	11.00
data_012.json	Feasible	0.14	11.72
data_013.json	Feasible	0.18	11.28
data_014.json	Feasible	0.17	11.13
data_015.json	Feasible	0.97	10.45
data_016.json	Feasible	0.18	11.75
data_017.json	Feasible	0.15	11.60
data_018.json	Feasible	0.52	10.65
data_019.json	Feasible	0.21	10.82
data_020.json	Feasible	0.16	11.20
data_021.json	Feasible	0.16	11.62
data_022.json	Feasible	0.17	10.97
data_023.json	Feasible	0.19	11.38
data_024.json	Feasible	0.19	11.02
data_025.json	Feasible	0.17	10.68
data_026.json	Feasible	0.32	11.02
data_027.json	Feasible	0.19	11.20
data_028.json	Feasible	0.16	11.88
data_029.json	Feasible	0.15	11.42
data_030.json	Feasible	0.16	10.45
data_031.json	Feasible	0.15	10.73
data_032.json	Feasible	0.14	11.62
data_033.json	Feasible	0.31	10.92
data_034.json	Feasible	0.17	10.75
data_035.json	Feasible	0.16	11.52
data_036.json	Feasible	0.89	10.70
data_037.json	Feasible	0.17	11.68
data_038.json	Feasible	0.19	11.05
data_039.json	Feasible	0.20	10.97
data_040.json	Feasible	0.18	11.23
data_041.json	Feasible	0.19	10.78
data_042.json	Feasible	0.18	11.03
data_043.json	Feasible	0.18	10.95
data_044.json	Feasible	0.15	11.33
data_045.json	Feasible	0.16	11.57
data_046.json	Feasible	0.15	11.17
data_047.json	Feasible	0.17	10.68
data_048.json	Feasible	0.15	11.18
data_049.json	Feasible	0.20	11.12
data_050.json	Feasible	0.16	10.85
data_051.json	Feasible	0.19	10.83
data_052.json	Feasible	0.14	11.00
data_053.json	Feasible	0.14	11.55
data_054.json	Feasible	0.15	11.48
data_055.json	Feasible	0.18	10.98
data_056.json	Feasible	0.17	11.17
data_057.json	Feasible	0.17	11.10
data_058.json	Feasible	0.15	11.57
data_059.json	Feasible	0.16	11.37
data_060.json	Feasible	0.17	10.68
data_061.json	Feasible	0.13	10.88
data_062.json	Feasible	0.14	10.92
data_063.json	Feasible	0.14	11.37
data_064.json	Feasible	0.15	11.22
data_065.json	Feasible	0.17	11.18
data_066.json	Feasible	0.15	10.98
data_067.json	Feasible	0.13	11.15
data_068.json	Feasible	0.14	11.42
data_069.json	Feasible	0.14	11.40
data_070.json	Feasible	0.16	10.83
data_071.json	Feasible	0.13	11.28
data_072.json	Feasible	0.15	10.83
data_073.json	Feasible	0.16	11.17
data_074.json	Feasible	0.14	11.38
data_075.json	Feasible	0.14	11.45
data_076.json	Feasible	0.15	11.57
data_077.json	Feasible	0.13	11.22
data_078.json	Feasible	0.15	11.83
data_079.json	Feasible	0.12	11.68
data_080.json	Feasible	0.13	11.57
data_081.json	Feasible	0.15	11.20
data_082.json	Feasible	0.14	11.48
data_083.json	Feasible	0.14	10.97
data_084.json	Feasible	0.13	11.38
data_085.json	Feasible	0.16	11.03
data_086.json	Feasible	0.14	11.38
data_087.json	Feasible	0.15	11.15
data_088.json	Feasible	0.14	11.32
data_089.json	Feasible	0.14	11.50
data_090.json	Feasible	0.21	11.67
data_091.json	Feasible	0.15	11.25
data_092.json	Feasible	0.14	11.75
data_093.json	Feasible	0.14	11.53
data_094.json	Feasible	0.13	11.52
data_095.json	Feasible	0.15	10.77
data_096.json	Feasible	0.14	11.20
data_097.json	Feasible	0.15	10.83
data_098.json	Feasible	0.13	11.48
data_099.json	Feasible	0.14	11.20
data_100.json	Feasible	0.15	11.02
